Feature ID	Accession ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|6666666.353979.peg.1	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	343	1050	1	+	708	Transcriptional regulator, GntR family	- none -	 	 
fig|6666666.353979.peg.2	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	1047	2480	3	+	1434	Permeases of the major facilitator superfamily	- none -	 	 
fig|6666666.353979.peg.3	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	3438	2446	-3	-	993	Ribose operon repressor	D-ribose utilization	 	 
fig|6666666.353979.peg.4	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	4386	3442	-3	-	945	Ribokinase (EC 2.7.1.15)	D-ribose utilization; <br>Deoxyribose and Deoxynucleoside Catabolism	 	 
fig|6666666.353979.peg.5	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	5368	4478	-1	-	891	Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	D-ribose utilization	 	 
fig|6666666.353979.peg.6	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	6361	5396	-1	-	966	Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	D-ribose utilization	 	 
fig|6666666.353979.peg.7	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	7916	6366	-2	-	1551	Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	D-ribose utilization	 	 
fig|6666666.353979.peg.8	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	8298	7879	-3	-	420	Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	D-ribose utilization	 	 
fig|6666666.353979.peg.9	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	10362	8494	-3	-	1869	Kup system potassium uptake protein	Potassium homeostasis	 	 
fig|6666666.353979.peg.10	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	10586	12082	2	+	1497	Putative regulator protein	- none -	 	 
fig|6666666.353979.peg.11	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	12076	13527	1	+	1452	FIG00637882: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.12	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	14520	13528	-3	-	993	Aspartate--ammonia ligase (EC 6.3.1.1)	CBSS-262728.1.peg.1737; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	 	 
fig|6666666.353979.peg.13	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	14672	15130	2	+	459	Regulatory protein AsnC	CBSS-262728.1.peg.1737	 	 
fig|6666666.353979.peg.14	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	15221	15670	2	+	450	Flavoprotein MioC	Flavodoxin	 	 
fig|6666666.353979.peg.15	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	16045	17934	1	+	1890	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	Cell Division Subsystem including YidCD; <br>RNA modification and chromosome partitioning cluster; <br>mnm5U34 biosynthesis bacteria; <br>tRNA modification Bacteria	 	 
fig|6666666.353979.peg.16	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	18043	18666	1	+	624	rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB	Cell Division Subsystem including YidCD; <br>RNA methylation; <br>RNA modification and chromosome partitioning cluster	 	 
fig|6666666.353979.peg.17	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	19283	19663	2	+	381	ATP synthase protein I	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.18	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	19672	20487	1	+	816	ATP synthase F0 sector subunit a	- none -	 	 
fig|6666666.353979.peg.19	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	20537	20776	2	+	240	ATP synthase F0 sector subunit c (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.20	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	20825	21295	2	+	471	ATP synthase F0 sector subunit b (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.21	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	21310	21843	1	+	534	ATP synthase delta chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.22	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	21856	23397	1	+	1542	ATP synthase alpha chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.23	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	23449	24312	1	+	864	ATP synthase gamma chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.24	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	24344	25726	2	+	1383	ATP synthase beta chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.25	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	25747	26166	1	+	420	ATP synthase epsilon chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.353979.peg.26	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	26305	27675	1	+	1371	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	Peptidoglycan Biosynthesis; <br>Peptidoglycan Biosynthesis; <br>Sialic Acid Metabolism; <br>Sialic Acid Metabolism; <br>Transcription repair cluster; <br>Transcription repair cluster; <br>UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis; <br>UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	 	 
fig|6666666.353979.peg.27	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	27854	29683	2	+	1830	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	Sialic Acid Metabolism; <br>UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	 	 
fig|6666666.353979.peg.28	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	30005	31045	2	+	1041	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	High affinity phosphate transporter and control of PHO regulon; <br>PhoR-PhoB two-component regulatory system; <br>Phosphate metabolism	 	 
fig|6666666.353979.peg.29	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	31127	32086	2	+	960	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	High affinity phosphate transporter and control of PHO regulon; <br>Phosphate metabolism	 	 
fig|6666666.353979.peg.30	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	32086	32976	1	+	891	Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	High affinity phosphate transporter and control of PHO regulon; <br>Phosphate metabolism	 	 
fig|6666666.353979.peg.31	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	33024	33797	3	+	774	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	High affinity phosphate transporter and control of PHO regulon; <br>Phosphate metabolism	 	 
fig|6666666.353979.peg.32	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	33811	34536	1	+	726	Phosphate transport system regulatory protein PhoU	High affinity phosphate transporter and control of PHO regulon; <br>Phosphate metabolism	 	 
fig|6666666.353979.peg.33	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	35246	34581	-2	-	666	Putative phosphatase YieH	2-phosphoglycolate salvage	 	 
fig|6666666.353979.peg.34	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	35427	35233	-3	-	195	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.35	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	35413	36750	1	+	1338	Xanthine/uracil/thiamine/ascorbate permease family protein	Purine Utilization	 	 
fig|6666666.353979.peg.36	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	37379	36813	-2	-	567	FIG00553873: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.37	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	38162	37416	-2	-	747	FIG004212: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.38	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	39256	38285	-1	-	972	Putative LysR-family transcriptional regulator YidZ	- none -	 	 
fig|6666666.353979.peg.39	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	40400	39225	-2	-	1176	Putative transport protein	- none -	 	 
fig|6666666.353979.peg.40	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	41876	40512	-2	-	1365	GTPase and tRNA-U34 5-formylation enzyme TrmE	Cell Division Subsystem including YidCD; <br>RNA modification and chromosome partitioning cluster; <br>RNA modification cluster; <br>Universal GTPases; <br>mnm5U34 biosynthesis bacteria; <br>tRNA modification Bacteria	 	 
fig|6666666.353979.peg.41	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	43594	41951	-1	-	1644	Inner membrane protein translocase component YidC, long form	CTP synthase (EC 6.3.4.2) cluster; <br>Cell Division Subsystem including YidCD; <br>RNA modification cluster	 	 
fig|6666666.353979.peg.42	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	44144	43818	-2	-	327	Ribonuclease P protein component (EC 3.1.26.5)	Cell Division Subsystem including YidCD; <br>RNA modification cluster; <br>tRNA processing	 	 
fig|6666666.353979.peg.43	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	44334	44194	-3	-	141	LSU ribosomal protein L34p	Cell Division Subsystem including YidCD; <br>RNA modification cluster; <br>Ribosome LSU bacterial	 	 
fig|6666666.353979.peg.44	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	44935	46329	1	+	1395	Chromosomal replication initiator protein DnaA	Cell Division Subsystem including YidCD; <br>DNA replication cluster 1	 	 
fig|6666666.353979.peg.45	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	46334	47434	2	+	1101	DNA polymerase III beta subunit (EC 2.7.7.7)	Cell Division Subsystem including YidCD; <br>DNA replication cluster 1	 	 
fig|6666666.353979.peg.46	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	47434	48507	1	+	1074	DNA recombination and repair protein RecF	Cell Division Subsystem including YidCD; <br>DNA repair, bacterial RecFOR pathway; <br>DNA replication cluster 1; <br>Hypothetical Coupled to RecF	 	 
fig|6666666.353979.peg.47	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	48536	50947	2	+	2412	DNA gyrase subunit B (EC 5.99.1.3)	Cell Division Subsystem including YidCD; <br>DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones	 	 
fig|6666666.353979.peg.48	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	51917	50982	-2	-	936	Transcriptional regulator	- none -	 	 
fig|6666666.353979.peg.49	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	52027	53052	1	+	1026	Alcohol dehydrogenase (EC 1.1.1.1)	5-FCL-like protein; <br>Butanol Biosynthesis; <br>Fermentations: Mixed acid; <br>Glycerolipid and Glycerophospholipid Metabolism in Bacteria	 	 
fig|6666666.353979.peg.50	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	53168	53980	2	+	813	Promiscuous sugar phosphatase YidA, haloacid dehalogenase-like phosphatase family	- none -	 	 
fig|6666666.353979.peg.51	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	54206	54895	2	+	690	D-Galactonate repressor DgoR	D-galactonate catabolism	 	 
fig|6666666.353979.peg.52	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	54892	55770	1	+	879	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	D-galactonate catabolism	 	 
fig|6666666.353979.peg.53	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	55754	56371	2	+	618	2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	D-galactonate catabolism	 	 
fig|6666666.353979.peg.54	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	56368	57516	1	+	1149	Galactonate dehydratase (EC 4.2.1.6)	D-galactonate catabolism; <br>Muconate lactonizing enzyme family	 	 
fig|6666666.353979.peg.55	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	57636	58928	3	+	1293	D-galactonate transporter	D-galactonate catabolism	 	 
fig|6666666.353979.peg.56	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	58938	60209	3	+	1272	Uncharacterized protein YidR	Mediator of hyperadherence YidE in Enterobacteria and its conserved region	 	 
fig|6666666.353979.peg.57	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	60538	60206	-1	-	333	Outer membrane lipoprotein YidQ	Mediator of hyperadherence YidE in Enterobacteria and its conserved region	 	 
fig|6666666.353979.peg.58	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	60807	61262	3	+	456	16 kDa heat shock protein A	Mediator of hyperadherence YidE in Enterobacteria and its conserved region	 	 
fig|6666666.353979.peg.59	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	61399	61827	1	+	429	16 kDa heat shock protein B	Mediator of hyperadherence YidE in Enterobacteria and its conserved region	 	 
fig|6666666.353979.peg.60	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	61929	61816	-3	-	114	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.61	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	62000	63661	2	+	1662	Mediator of hyperadherence YidE	Mediator of hyperadherence YidE in Enterobacteria and its conserved region	 	 
fig|6666666.353979.peg.62	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	64375	63629	-1	-	747	HTH-type transcriptional regulator YidP	Mediator of hyperadherence YidE in Enterobacteria and its conserved region	 	 
fig|6666666.353979.peg.63	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	64598	66220	2	+	1623	PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69) / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)	Maltose and Maltodextrin Utilization; <br>Maltose and Maltodextrin Utilization	 	 
fig|6666666.353979.peg.64	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	66217	67539	1	+	1323	Maltose-6&#39;-phosphate glucosidase (EC 3.2.1.122)	Maltose and Maltodextrin Utilization; <br>Trehalose Uptake and Utilization	 	 
fig|6666666.353979.peg.65	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	67632	67979	3	+	348	Putative inner membrane protein	- none -	 	 
fig|6666666.353979.peg.66	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	67969	68316	1	+	348	Putative inner membrane protein	- none -	 	 
fig|6666666.353979.peg.67	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	69589	68300	-1	-	1290	D-serine dehydratase (EC 4.3.1.18)	Glycine and Serine Utilization; <br>Pyruvate Alanine Serine Interconversions	 	 
fig|6666666.353979.peg.68	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	70944	69607	-3	-	1338	D-serine permease DsdX	Glycine and Serine Utilization	 	 
fig|6666666.353979.peg.69	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	71149	72075	1	+	927	D-serine dehydratase transcriptional activator	Glycine and Serine Utilization; <br>LysR-family proteins in Escherichia coli	 	 
fig|6666666.353979.peg.70	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	74308	73151	-1	-	1158	Multidrug resistance protein D	- none -	 	 
fig|6666666.353979.peg.71	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	75344	74511	-2	-	834	Integral membrane protein	- none -	 	 
fig|6666666.353979.peg.72	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	75853	75407	-1	-	447	GCN5-related N-acetyltransferase	- none -	 	 
fig|6666666.353979.peg.73	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	75900	76082	3	+	183	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.74	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	76734	78422	3	+	1689	Acetolactate synthase large subunit (EC 2.2.1.6)	Acetoin, butanediol metabolism; <br>Acetolactate synthase subunits; <br>Branched-Chain Amino Acid Biosynthesis	 	 
fig|6666666.353979.peg.75	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	78426	78713	3	+	288	Acetolactate synthase small subunit (EC 2.2.1.6)	Acetoin, butanediol metabolism; <br>Acetolactate synthase subunits; <br>Branched-Chain Amino Acid Biosynthesis	 	 
fig|6666666.353979.peg.76	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	78791	79384	2	+	594	Transcriptional regulatory protein UhpA	Hexose Phosphate Uptake System	 	 
fig|6666666.353979.peg.77	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	79390	80886	1	+	1497	Sensor histidine protein kinase UhpB, glucose-6-phosphate specific (EC 2.7.13.3)	Hexose Phosphate Uptake System	 	 
fig|6666666.353979.peg.78	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	80879	82189	2	+	1311	Hexose phosphate uptake regulatory protein UhpC	Hexose Phosphate Uptake System	 	 
fig|6666666.353979.peg.79	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	82332	83729	3	+	1398	Hexose phosphate transport protein UhpT	Hexose Phosphate Uptake System	 	 
fig|6666666.353979.peg.80	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	84591	83791	-3	-	801	7,8 dihydropteroate synthase (methanopterin)	- none -	 	 
fig|6666666.353979.peg.81	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	84789	85241	3	+	453	probable membrane protein YPO2654	- none -	 	 
fig|6666666.353979.peg.82	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	86158	85238	-1	-	921	Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family)	DNA-binding regulatory proteins, strays	 	 
fig|6666666.353979.peg.83	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	86406	87626	3	+	1221	major facilitator superfamily MFS_1	- none -	 	 
fig|6666666.353979.peg.84	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	88721	87723	-2	-	999	Aldo-keto reductase	- none -	 	 
fig|6666666.353979.peg.85	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	88929	90119	3	+	1191	Putative transport protein	- none -	 	 
fig|6666666.353979.peg.86	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	91062	90157	-3	-	906	FIG00626560: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.87	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	91468	91172	-1	-	297	Putative secreted protein	- none -	 	 
fig|6666666.353979.peg.88	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	91609	92028	1	+	420	FIG01201438: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.89	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	92167	92967	1	+	801	Methionine ABC transporter substrate-binding protein	Methionine Biosynthesis; <br>Methionine Degradation	 	 
fig|6666666.353979.peg.90	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	93092	93871	2	+	780	putative exported protein	- none -	 	 
fig|6666666.353979.peg.91	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	93898	94851	1	+	954	Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain	- none -	 	 
fig|6666666.353979.peg.92	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	95034	96731	3	+	1698	Channel-forming transporter/cytolysins activator of TpsB family	Two partner secretion pathway (TPS)	 	 
fig|6666666.353979.peg.93	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	96746	108880	2	+	12135	Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family	Two partner secretion pathway (TPS)	 	 
fig|6666666.353979.peg.94	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	109957	109838	-1	-	120	FIG139438: lipoprotein B	Stationary phase repair cluster	 	 
fig|6666666.353979.peg.95	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	110102	110281	2	+	180	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.96	PZPP01000001.1	CDS	enterobacter_cloacae_contig-01_173412	111410	110322	-2	-	1089	putative RecF protein	- none -	 	 
