Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Competence protein F homolog, phosphoribosyltransferase domain	fig|6666666.353979.peg.4225
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin operon repressor	fig|6666666.353979.peg.4297
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.353979.peg.2846
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin-protein ligase (EC 6.3.4.15)	fig|6666666.353979.peg.4297
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.353979.peg.2844
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.353979.peg.2842
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthesis protein BioH	fig|6666666.353979.peg.4224
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|6666666.353979.peg.1002, fig|6666666.353979.peg.1127
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthase (EC 2.8.1.6)	fig|6666666.353979.peg.2845
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthesis protein BioC	fig|6666666.353979.peg.2843
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.353979.peg.1678, fig|6666666.353979.peg.1975, fig|6666666.353979.peg.2502, fig|6666666.353979.peg.3541, fig|6666666.353979.peg.4304
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	fig|6666666.353979.peg.155
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin operon repressor	fig|6666666.353979.peg.4297
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.353979.peg.2846
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin-protein ligase (EC 6.3.4.15)	fig|6666666.353979.peg.4297
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.353979.peg.2844
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioH	fig|6666666.353979.peg.4224
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.353979.peg.2842
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|6666666.353979.peg.1002, fig|6666666.353979.peg.1127
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthase (EC 2.8.1.6)	fig|6666666.353979.peg.2845
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioC	fig|6666666.353979.peg.2843
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.353979.peg.1678, fig|6666666.353979.peg.1975, fig|6666666.353979.peg.2502, fig|6666666.353979.peg.3541, fig|6666666.353979.peg.4304
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Competence protein F homolog, phosphoribosyltransferase domain	fig|6666666.353979.peg.4225
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	NfuA Fe-S protein maturation	fig|6666666.353979.peg.4226
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.353979.peg.2846
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.353979.peg.2844
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthesis protein BioH	fig|6666666.353979.peg.4224
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.353979.peg.2842
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthase (EC 2.8.1.6)	fig|6666666.353979.peg.2845
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthesis protein BioC	fig|6666666.353979.peg.2843
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Sulfur carrier protein adenylyltransferase ThiF	fig|6666666.353979.peg.248
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiazole biosynthesis protein ThiG	fig|6666666.353979.peg.246
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, ATPase component	fig|6666666.353979.peg.783
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamine-monophosphate kinase (EC 2.7.4.16)	fig|6666666.353979.peg.3169
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	fig|6666666.353979.peg.3167
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, substrate-binding component	fig|6666666.353979.peg.785
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamine kinase (EC 2.7.1.89)	fig|6666666.353979.peg.2100
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	fig|6666666.353979.peg.3690
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	fig|6666666.353979.peg.249
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxyethylthiazole kinase (EC 2.7.1.50)	fig|6666666.353979.peg.3360
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, transmembrane component	fig|6666666.353979.peg.784
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Sulfur carrier protein ThiS	fig|6666666.353979.peg.247
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|6666666.353979.peg.3473
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|6666666.353979.peg.3472
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|6666666.353979.peg.3468
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	fig|6666666.353979.peg.4314
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-heptaprenyl-1,4-naphthoquinone methyltransferase (EC 2.1.1.163)	fig|6666666.353979.peg.4314
